# This output is decision support only. A human reviewer must confirm every advance or reject decision before any candidate is contacted or excluded.
candidate_id,raw_skill,sections,mentions
c_a0bd7152,Agile,experience,1
c_a0bd7152,JIRA,experience,2
c_a0bd7152,JavaScript,experience,1
c_a0bd7152,SQL,experience,2
c_a0bd7152,Tableau,experience,2
c_a0bd7152,Scrum,experience,1
c_a0bd7152,React,experience,2
c_a0bd7152,Python,experience,1
c_a0bd7152,AWS,experience,1
c_a0bd7152,Confluence,experience,1
